Stipes Long Lower,Stipes Long Upper,Cluster
200.0,700.0,3
400.0,900.0,2
400.0,1400.0,7
1000.0,3700.0,10
500.0,1100.0,7
400.0,700.0,3
400.0,1000.0,1
600.0,1200.0,7
400.0,1500.0,6
300.0,700.0,3
300.0,600.0,3
300.0,500.0,5
150.0,350.0,5
800.0,1500.0,6
300.0,600.0,3
400.0,1000.0,1
800.0,1400.0,6
900.0,1900.0,9
250.0,450.0,5
600.0,1500.0,6
600.0,1200.0,7
300.0,700.0,3
600.0,1200.0,7
500.0,1200.0,7
600.0,1600.0,6
400.0,1400.0,7
350.0,900.0,2
500.0,1500.0,6
1000.0,2000.0,9
500.0,1450.0,6
900.0,1700.0,9
400.0,1400.0,7
700.0,1600.0,6
600.0,1200.0,7
1000.0,2200.0,8
1000.0,2500.0,8
700.0,1100.0,7
400.0,1800.0,9
700.0,1700.0,9
600.0,1300.0,7
400.0,1100.0,7
700.0,2500.0,8
150.0,400.0,5
400.0,1500.0,6
400.0,700.0,3
600.0,1200.0,7
300.0,650.0,3
700.0,1300.0,7
400.0,700.0,3
500.0,900.0,2
500.0,1000.0,1
400.0,800.0,2
700.0,1400.0,6
700.0,2000.0,9
500.0,1000.0,1
500.0,900.0,2
500.0,1000.0,1
700.0,1400.0,6
500.0,900.0,2
600.0,1500.0,6
700.0,1500.0,6
400.0,800.0,2
500.0,1000.0,1
500.0,1000.0,1
200.0,500.0,5
200.0,600.0,3
200.0,400.0,5
300.0,700.0,3
200.0,600.0,3
500.0,1500.0,6
300.0,700.0,3
100.0,400.0,5
150.0,500.0,5
400.0,800.0,2
400.0,900.0,2
30.0,70.0,4
400.0,900.0,2
400.0,800.0,2
250.0,500.0,5
250.0,400.0,5
200.0,400.0,5
200.0,400.0,5
400.0,1000.0,1
200.0,500.0,5
700.0,1400.0,6
300.0,600.0,3
400.0,800.0,2
250.0,400.0,5
200.0,500.0,5
300.0,600.0,3
400.0,800.0,2
100.0,500.0,5
40.0,100.0,4
300.0,700.0,3
250.0,700.0,3
200.0,700.0,3
400.0,600.0,3
300.0,1400.0,7
250.0,900.0,2
250.0,700.0,3
200.0,900.0,2
100.0,250.0,4
1500.0,1500.0,9
200.0,600.0,3
300.0,700.0,3
500.0,1000.0,1
400.0,600.0,3
300.0,700.0,3
300.0,700.0,3
400.0,600.0,3
500.0,1300.0,7
300.0,750.0,3
300.0,800.0,2
200.0,750.0,3
700.0,1500.0,6
800.0,1300.0,7
400.0,1000.0,1
300.0,800.0,2
150.0,600.0,3
200.0,700.0,3
400.0,700.0,3
300.0,700.0,3
100.0,200.0,4
500.0,900.0,2
200.0,500.0,5
400.0,600.0,3
400.0,800.0,2
600.0,1300.0,7
300.0,800.0,2
600.0,1400.0,6
500.0,1000.0,1
200.0,500.0,5
300.0,600.0,3
450.0,800.0,2
300.0,1000.0,1
500.0,1300.0,7
250.0,500.0,5
